"record_count","total_passengers","origin_airport_id","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR"
5156,54769,11941,"Golovin, AK","AK"
5151,5746905,10980,"Chattanooga, TN","TN"
5129,42271,15282,"Tununak, AK","AK"
5094,49463,14804,"Shungnak, AK","AK"
5078,67466,12844,"Kivalina, AK","AK"
5045,45004,10405,"Atmautluak, AK","AK"
5041,8335093,14918,"Shannon, Ireland",""
5037,8822304,10521,"Hamilton, Bermuda",""
5029,15475557,13165,"Manchester, United Kingdom",""
5026,7818690,11603,"Eugene, OR","OR"
5008,36708,15085,"Sheldon Point, AK","AK"
4989,56699,10640,"Buckland, AK","AK"
4962,6275705,15070,"Newburgh/Poughkeepsie, NY","NY"
4953,18714977,12143,"Hong Kong, Hong Kong",""
4952,53275,12855,"Kwethluk, AK","AK"
4950,4842465,11731,"Freeport, The Bahamas",""
4928,49230,14805,"Shishmaref, AK","AK"
4901,6841881,15084,"Philipsburg, Netherlands Antilles",""
4852,48073,12214,"Huslia, AK","AK"
4832,43273,15257,"Tuluksak, AK","AK"
4807,50107,13770,"Nunapitchuk, AK","AK"
4807,6036751,11637,"Fargo, ND","ND"
4797,1573905,16128,"Montreal, Canada","QC"
4776,56821,15794,"White Mountain, AK","AK"
4729,5107299,10408,"Appleton, WI","WI"
4720,40976,12822,"Brevig Mission, AK","AK"
4710,2926791,10732,"Aguadilla, PR","PR"
4702,9851144,11140,"Corpus Christi, TX","TX"
4701,661811,11445,"Unalaska, AK","AK"
4701,34561,12087,"Holy Cross, AK","AK"
4679,6292318,14210,"Port of Spain, Trinidad and Tobago",""
4649,59971,13768,"Nulato, AK","AK"
4622,339804,13002,"Seattle, WA","WA"
4617,4872766,11146,"Charleston/Dunbar, WV","WV"
4591,6827443,16042,"Edmonton, Canada","AB"
4559,37893,10241,"Akiak, AK","AK"
4547,61411,14102,"Point Hope, AK","AK"
4545,42856,12709,"Akiachak, AK","AK"
4524,3992306,14681,"San Pedro Sula, Honduras",""
4490,4646573,10469,"Kalamazoo, MI","MI"
4462,37414,10194,"Dallas/Fort Worth, TX","TX"
4398,40883,13806,"Kobuk, AK","AK"
4388,5960188,13486,"Missoula, MT","MT"
4388,8249417,13422,"Mobile, AL","AL"
4388,9072800,12693,"Kingston, Jamaica",""
4332,114361,14485,"Red Dog, AK","AK"
4318,4526615,16232,"Winnipeg, Canada","MB"
4313,64904,15124,"Tanana, AK","AK"
4295,197753,12917,"Columbus, OH","OH"
4277,4260987,10434,"Scranton/Wilkes-Barre, PA","PA"
4253,6811402,10849,"Bozeman, MT","MT"
4231,6055472,12323,"Wilmington, NC","NC"
4186,5466567,14252,"Pasco/Kennewick/Richland, WA","WA"
4163,26624,15293,"Togiak, AK","AK"
4098,27480,15709,"Wales, AK","AK"
4095,3933638,12051,"Guayaquil, Ecuador",""
4054,3461635,14633,"Rochester, MN","MN"
4050,5859262,10431,"Asheville, NC","NC"
4045,5477602,13264,"Medford, OR","OR"
4034,44573,12615,"Kaltag, AK","AK"
4030,57918,14273,"Port Heiden, AK","AK"
4016,2683413,14828,"Sitka, AK","AK"
4008,4775637,13029,"Lincoln, NE","NE"
3998,4410364,14457,"Rapid City, SD","SD"
3961,4232643,15323,"Bristol/Johnson City/Kingsport, TN","TN"
3946,27464,15798,"Napakiak, AK","AK"
3942,29102249,12982,"Lihue, HI","HI"
3907,15465380,11651,"Rome, Italy",""
3886,7698359,14012,"Port-au-Prince, Haiti",""
3850,6725304,14689,"Santa Barbara, CA","CA"
3837,33625,15245,"Teller, AK","AK"
3834,5015409,13184,"Saginaw/Bay City/Midland, MI","MI"
3803,45811,10247,"Anaktuvuk Pass, AK","AK"
3779,51392,14474,"Ruby, AK","AK"
3779,2240527,11898,"Grand Forks, ND","ND"
3777,19396,12676,"Grayling, AK","AK"
3777,21257,11952,"Goodnews Bay, AK","AK"
3771,2688380,10148,"Acapulco, Mexico",""
3767,10510067,13560,"Milan, Italy",""
3765,3841227,11612,"Evansville, IN","IN"
3760,7668400,11252,"Daytona Beach, FL","FL"
3757,5522205,10575,"Barbados/Bridgetown, Barbados",""
3755,3761549,13594,"Mazatlan, Mexico",""
3755,449418,12184,"Homer, AK","AK"
3742,1089554,16178,"Gander, Canada","NL"
3655,5259493,15027,"Christiansted, VI","VI"
3652,19995,10313,"Anvik, AK","AK"
3643,7435534,13256,"Mission/McAllen/Edinburg, TX","TX"
3611,24933,14130,"Napaskiak, AK","AK"
3598,3851862,11244,"Cozumel, Mexico",""
3569,4183259,10685,"Bloomington/Normal, IL","IL"
3565,3646814,12951,"Lafayette, LA","LA"
3499,3055471,10638,"Leon/Guanajuato, Mexico",""
3498,3718382,15380,"Traverse City, MI","MI"
3496,13332743,13518,"Munich, Germany",""
3485,36743,11411,"Deering, AK","AK"
3478,20498,14816,"Shageluk, AK","AK"
3477,45519,15581,"Venetie, AK","AK"
3453,16152568,12402,"Hilo, HI","HI"
3451,362367,15502,"Tunica, MS","MS"
3436,28999,12868,"Koyukuk, AK","AK"
3407,70459,15049,"Savoonga, AK","AK"
3392,6812656,15624,"Valparaiso, FL","FL"
3391,10882110,15258,"Tel Aviv, Israel",""
3372,4875420,14207,"Puerto Plata, Dominican Republic",""
3363,3137608,11337,"Duluth, MN","MN"
3348,3891517,10627,"Bismarck/Mandan, ND","ND"
3334,3438993,10312,"St. Johns, Antigua and Barbuda",""
3324,2749724,11921,"Grand Junction, CO","CO"
3295,3819804,11648,"Kalispell, MT","MT"
3285,2771780,11203,"Mosinee, WI","WI"
3280,5578248,14717,"Santiago, Chile",""
3226,2003604,10185,"Alexandria, LA","LA"
3225,13611,12755,"New Stuyahok, AK","AK"
3225,230606,11762,"Friday Harbor, WA","WA"
3191,65506,11845,"Gambell, AK","AK"
3182,10649912,11625,"Ezeiza, Argentina",""
3180,40383,10184,"Allakaket, AK","AK"
3167,13668,11028,"Crooked Creek, AK","AK"
3166,6119986,14309,"Shanghai, China",""
3147,4183807,13269,"Managua, Nicaragua",""
3114,123105,14738,"Sandpoint, AK","AK"
3108,35599,12815,"Thorne Bay, AK","AK"
3102,1933141,10154,"Nantucket, MA","MA"
3102,10070,14880,"Sleetmute, AK","AK"
3070,2740855,16085,"Halifax, Canada","NS"
3065,4239962,10666,"Bellingham, WA","WA"
3031,4533186,10208,"Augusta, GA","GA"
3015,722977,10926,"Cordova, AK","AK"
3009,38426,14275,"Pontiac, MI","MI"
2998,49814,10961,"Craig, AK","AK"
2972,4191703,10846,"Belize City, Belize",""
2935,3404889,14153,"Providenciales, Turks and Caicos Islands",""
2930,5701310,13360,"Melbourne, FL","FL"
2919,1831125,16304,"Ixtapa/Zihuatanejo, Mexico",""
2914,15973,14282,"Platinum, AK","AK"
2899,4334551,12651,"Keflavik/Reykjavik, Iceland",""
2898,2783438,10466,"Phoenix, AZ","AZ"
2872,25612,12235,"Hughes, AK","AK"
2855,12299,10996,"Chuathbaluk, AK","AK"
2846,67709,10225,"Wainwright, AK","AK"
2841,37314,10783,"Bettles, AK","AK"
2838,64757,16078,"Hamilton, Canada","ON"
2789,2358293,13076,"La Crosse, WI","WI"
2766,6191811,14098,"Newport News/Williamsburg, VA","VA"
2730,113273,12175,"Haines, AK","AK"
2721,34125,13579,"Mekoryuk, AK","AK"
2716,4282872,13277,"Montgomery, AL","AL"
2699,3090066,13377,"Monroe, LA","LA"
2698,17965,12737,"Manokotak, AK","AK"
2697,38886,15167,"Teterboro, NJ","NJ"
2679,6223402,11915,"Rio de Janeiro, Brazil",""
2677,21221,12748,"Kokhanok, AK","AK"
2674,433211,11563,"Wendover, UT","UT"
2650,1257449,11122,"Casper, WY","WY"
2645,1536217,10747,"Brownsville, TX","TX"
2635,2407811,10990,"Charlottesville, VA","VA"
2617,15614,15725,"Beaver, AK","AK"
2594,4681673,12441,"Jackson, WY","WY"
2593,23043,11511,"Egegik, AK","AK"
2587,8827,12671,"Koliganek, AK","AK"
2584,11030,12294,"Igiugig, AK","AK"
2568,1325619,14849,"St. Kitts, Saint Kitts and Nevis",""
2548,2497668,11067,"Champaign/Urbana, IL","IL"
2544,6579025,13943,"Paris, France",""
2534,1035402,11555,"Kenai, AK","AK"
2521,3255427,13476,"Monterey, CA","CA"
2517,3246630,14489,"Bend/Redmond, OR","OR"
2513,14300977,15092,"Sydney, Australia",""
2511,11677,12720,"Levelock, AK","AK"
2478,3892033,11641,"Fayetteville, NC","NC"
2476,2998842,11577,"Erie, PA","PA"
2473,912494,14256,"Petersburg, AK","AK"
2467,17988,14119,"Pilot Point, AK","AK"
2463,587140,15991,"Yakutat, AK","AK"
2450,2005573,13218,"Medellin, Colombia",""
2438,29823,14125,"Point Lay, AK","AK"
2433,107202,12171,"Hoonah, AK","AK"
2414,8127020,13408,"Manila, Philippines",""
2374,3315553,11953,"Gainesville, FL","FL"
2373,2430051,12073,"Havana, Cuba",""
2362,19431,13113,"Luxembourg, Luxembourg",""
2341,2857078,12280,"Idaho Falls, ID","ID"
2339,107129,14797,"Skagway, AK","AK"
2336,1704431,13127,"Lewiston, ID","ID"
2330,7388,14493,"Red Devil, AK","AK"
2326,1643832,14711,"State College, PA","PA"
2323,33580,12253,"Hollis, AK","AK"
2319,21080,10349,"Arctic Village, AK","AK"
2318,2288320,11537,"Elmira/Corning, NY","NY"
2316,2570462,12156,"Helena, MT","MT"
2294,5792611,11444,"Dusseldorf, Germany",""
2284,5339,14987,"Stony River, AK","AK"
2275,4076968,11624,"Key West, FL","FL"
2265,11081,13715,"Nondalton, AK","AK"
2240,55269,10396,"Atqasuk, AK","AK"
2212,31386,13934,"Port Lions, AK","AK"
2192,38167,13863,"Old Harbor, AK","AK"
2186,263959,10970,"Cologne, Germany",""
2172,73452,13467,"Anchorage, AK","AK"
2161,1525137,16101,"Yakima, WA","WA"
2145,8948161,11435,"Dublin, Ireland",""
2144,29162,12652,"Kenmore, WA","WA"
2141,6567,12653,"Ekwok, AK","AK"
2135,36609,12721,"Larsen Bay, AK","AK"
2134,6963282,13664,"Nagoya, Japan",""
2129,1309727,10136,"Abilene, TX","TX"
2123,33567,12772,"Ouzinkie, AK","AK"
2121,3270273,15455,"Quito, Ecuador",""
2097,2137857,13433,"Minot, ND","ND"
2095,1009854,13459,"Marquette, MI","MI"
2086,154529,11997,"Gustavus, AK","AK"
2057,84508,14919,"St. Paul, AK","AK"
2053,989170,13306,"Merida, Mexico",""
2039,24149,12641,"Chignik, AK","AK"
2017,2005592,11413,"Durango, CO","CO"
1988,2270491,10577,"Binghamton, NY","NY"
1987,853343,15841,"Wrangell, AK","AK"
1985,3507471,11503,"Eagle, CO","CO"
1977,12076,11007,"Chalkyitsik, AK","AK"
1972,1654063,11049,"College Station/Bryan, TX","TX"
1971,2008254,11185,"Willemstad, Netherlands Antilles",""
1961,9093597,10244,"Auckland, New Zealand",""
1951,1223793,12164,"Hermosillo, Mexico",""
1950,1163903,12223,"Ashland, WV","WV"
1919,1624953,14952,"Springfield, IL","IL"
1919,127992,10540,"Bedford, MA","MA"
1910,6765244,11118,"Copenhagen, Denmark",""
1904,1263434,10155,"Waco, TX","TX"
1887,763811,13166,"Manaus, Brazil",""
1882,1493885,11052,"Cali, Colombia",""
1877,1171959,11170,"Sapporo, Japan",""
1877,2118085,10561,"Bakersfield, CA","CA"
1860,4394897,14228,"Papeete, French Polynesia",""
1860,23106,12635,"Chignik Bay, AK","AK"
1820,2224343,12094,"Hayden, CO","CO"
1799,15293,10243,"Akhiok, AK","AK"
1790,364263,11187,"Chihuahua, Mexico",""
1783,1936392,12990,"Liberia, Costa Rica",""
1772,58248,13767,"Nuiqsut, AK","AK"
1754,4811748,15013,"Santiago, Dominican Republic",""
1739,1504231,11150,"Columbus, GA","GA"
1732,621379,13541,"Martha's Vineyard, MA","MA"
1713,414985,11711,"Farmington, NM","NM"
1708,9756,11053,"Clarks Point, AK","AK"
1699,1491743,11778,"Fort Smith, AR","AR"
1677,1101053,11869,"Grand Canyon, AZ","AZ"
1675,1797564,16263,"Victoria, Canada","BC"
1674,1319,13295,"Sacramento, CA","CA"
1672,1440474,13347,"Hoolehua, HI","HI"
1664,322135,15018,"London, United Kingdom",""
1658,13266,11463,"Eagle, AK","AK"
