"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
412,196489,"Transportes Aereos Nacional","TX (1)"
411,513189,"Air Afrique","RK"
411,1570,"Global Jet Luxembourg, Sa","SVW"
407,1034,"ACM AIR CHARTER GmbH","0CQ"
403,0,"Aerovias Colombianas Arca","ARQ"
390,1497602,"British Midland Airways Ltd.","BD"
390,808915,"Lauda Air Luftfahrt Ag","NG"
383,23355,"Air North","4N"
376,311571,"Airbc Ltd.","ZX (1)"
375,1197212,"Malev Hungarian Airlines","MA"
374,667103,"Braniff International Airlines Inc.","BE"
371,354251,"Zuliana De Aviacion","ZUQ"
371,423223,"Ghana Airways Corporation","GH"
370,517063,"Jetsgo","SG"
369,948526,"LAN Argentina","4M"
369,0,"MK Airlines Ltd.","7G"
361,273524,"Transportes Aereos De Cabo","VR"
357,0,"AeroLogic GmbH","3S"
356,180118,"Pacific Island Aviation","9J"
345,194255,"Lineas Aereas Azteca","ZE"
344,0,"Omega Air Holdings d/b/a Focus Air","F2"
341,28825,"US Helicopter Corporation","UH"
341,1030,"CAT Aviation","CAZ"
340,881354,"Leisure International Airways Ltd.","LZQ"
333,1556,"Abaco Air, Ltd.","BZQ"
330,423130,"Nationair","NAQ"
325,382219,"City Bird","H2"
324,450440,"Biman Bangladesh Airlines","BG"
323,363,"SkyLink Express Inc.","PEQ"
322,394681,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","VB"
318,1238,"VistaJet Luftfahrtunternehmen GmbH","VSA"
315,585319,"Haiti Trans Air","TV"
314,319729,"Aeromexico Travel","TRA"
313,1723288,"Virgin Blue International Airlines t/a V Australia","VA"
312,0,"Estafeta Carga Aereas","E7"
312,181,"Nolinor Aviation","NLQ"
308,2698,"Harris Air Services","HBQ"
305,932186,"Skybus Airlines, Inc.","SX"
294,395537,"Nations Air Express Inc.","N5 (1)"
292,667438,"Insel Air International B V","7I"
292,0,"Aeroservicios Ecuatorianos","EOQ"
289,16814,"Mn Aviation, Inc.","W4"
288,0,"Serv De Trans Aereos Fuegui","FS"
285,0,"Vensecar International","V4"
283,331466,"Aerosur","5L"
280,1364463,"Air Japan Co","NQ"
280,2314,"Wilburs Inc.","8F"
271,37853,"Soc.Nouvelle Air Guadeloupe","TX"
270,864,"TAG Aviation (UK) Ltd.","0QQ"
270,296004,"Taca Peru","TQQ"
267,30468,"Magadan Airlines","H5"
267,0,"Aero Transcolombiana","CLQ"
265,0,"Aeropuma","PUQ"
262,551984,"Aspen Airways Inc.","APN"
260,801919,"ABC Aerolineas SA de CV dba Interjet","4O"
258,1761,"Comlux Malta, Ltd.","0UQ"
256,809399,"Globespan Airways Limited d/b/a Flyglobespan","Y2"
254,0,"Varig Logistica S/A","LC"
250,18842,"Air St. Thomas","ZP"
250,121576,"Pacific International Airlines Inc.","SFQ"
250,0,"Aerolineas Mundo","MUQ"
247,148104,"Aerodynamics Inc.","AJQ"
243,51949,"Trans Continental Airlines","YB"
243,105037,"Capitol Air Express Inc.","CPQ"
242,369838,"Nicaraguense De Aviacion Sa","6Y"
241,5643,"Renown Aviation","REQ"
240,101021,"Dynamic Airways, LLC","1BQ"
238,546624,"Elysair d/b/a L'Avion","A0"
237,406338,"Eurofly S.p.A","GJ"
235,814323,"Aerosvit Ukranian Airlines","VV"
235,61718,"Serv. Aerolineas Mexicanas","SMQ"
232,0,"Prescott Support Company, Inc.","PM"
232,16902,"Florida Coastal Airlines","PA"
232,58149,"Panagra Airways","PNQ"
230,0,"Export Air Del Peru S.A.","EXQ"
227,193014,"Air Comet S.A.","A7"
226,292340,"UltrAir","RL"
226,0,"Wrangler Aviation Inc.","BUQ"
225,0,"Caicos Caribbean Airways","CUQ"
224,847495,"Pan American World Airways","PA (2)"
222,1173206,"Jet Airways (India) Limited","9W"
218,1061,"Comlux Aviation, AG","05Q"
216,88816,"Prestige Airways","OI"
214,17409,"Air Sunshine Inc.","AAT"
214,411875,"Spanair S.A.","JK"
209,0,"Andes","ED"
204,0,"Cargo 360, Inc.","GG"
203,830361,"Jetstar Airways Pty Limited","JQ"
201,690908,"Excel Airways","JN"
201,627,"Air Alsie A/S","15Q"
200,925,"Tyrolean Jet Service","TIQ"
196,185011,"TUI Airlines Nederland B.V.","OR"
194,0,"Regal Air","2R"
192,140725,"Flying Boat Inc.","OP"
190,644,"JetAlliance Flugbetriebs d/b/a JAF Airservice","JAG"
190,260848,"Lineas Aereas Paraguayas","PZ"
189,138402,"Air Ukraine","6U"
188,0,"Master Top Linhas Aereas, Ltda.","Q4"
187,217170,"Air 21","A7 (1)"
183,0,"Pacific International Airlines","PIQ"
178,152100,"Premiair","SIQ"
176,0,"Arrow Panama","WAP"
175,331815,"Aerolineas Galapagos S A Aerogal","2K"
174,49310,"Pan American World Airways Dominicana","7Q"
173,682,"Triair Bermuda Flt Operations","TBQ"
172,0,"Interamericana De Aviacion","ITQ"
172,0,"All Canada Express","CEQ"
170,226565,"Aero Continente","N6"
169,189671,"Balkan Bulgarian Airlines","LZ"
169,127718,"Air Belgium","BEQ"
167,285592,"Transaero Airlines","UN"
167,92434,"Aeromonterrey S.A.","7M"
166,429562,"Aerovias de Intergracian Regional","4C"
165,506,"Global Jet Austria, GmbH","IGA"
164,0,"Aerotour Dominicano Cxa","RTQ"
163,130847,"MAXjet","MY"
160,0,"Air Foyle Limited","GS"
160,0,"Caribbean Air Cargo Co Ltd.","DC"
158,417,"JetClub AG","0J"
158,132956,"Hapag Lloyd Flug.","HAQ"
153,201911,"Accessair Holdings","ZA"
153,79856,"Sterling Airways A/S","NBQ"
151,45418,"Air Marshall Islands Inc.","CW"
148,606,"Albinati Aeronautics SA","17Q"
147,0,"Great Wall Airlines Company Limited","IJ"
147,131017,"Air Charter (Safa)","AQQ"
144,1234266,"Santa Barbara Airlines, C.A","S3"
143,0,"Patriot Airlines Inc.","PAQ"
143,361399,"XL Airways France","SE"
142,136717,"Air Europe Limited","AE"
139,0,"Transmile Air Service","TH"
139,0,"Aerolineas El Salvador S A","SZQ"
137,381,"Challenge Air Luftverkehrs GmbH","CAQ"
137,1637,"Victory Air Transport Inc.","VCQ"
137,418,"TAG Aviation S.A.","FP"
137,664374,"Air Atlanta Europe","EUQ"
136,999,"Regency Air","RGQ"
134,280735,"Tristar Airlines Inc.","T3"
133,38211,"Air Europe S.P.A.","PE"
132,394324,"Hainan Airlines Company Limited","HU"
127,108342,"Skyservice Airlines, Inc.","5G"
123,10327,"Arizona Express","K7"
123,10543,"Grand Canyon Helicopters","GCH"
116,322473,"Sichuan Airlines Co Ltd.","3U"
116,0,"Air Caribbean (1)","XC"
115,0,"Aruba Cargo","IPQ"
115,387,"Unijet","12Q"
110,0,"AirBridgeCargo Airlines Limited","RU"
107,22175,"Lorair Ltd.","LOQ"
107,0,"Aeronaves Del Peru","ADQ"
104,562,"Acropolis Aviation Ltd.","CRV"
104,140715,"Japan Air System Co. Ltd.","JD"
102,14739,"Eagle Airlines","V9"
102,404,"Jet Aviation Business Jets AG","PP"
102,589,"Hong Kong Dragonair","KA"
98,820,"Aeroservices Executive","BES"
97,38879,"Independent Air Inc.","INQ"
94,45109,"Samoa Aviation Inc.","SMO"
92,0,"Aerolineas Latinas","LNQ"
89,17306,"Northwest Seaplanes","NWS"
89,0,"Aerovias S.A.","AOQ"
88,110947,"Nigeria Airways Ltd.","WT"
88,48283,"Translift Airways Limited","FB"
88,15424,"KaiserAir, Inc.","1EQ"
88,81065,"Aerolineas Nicaraguenses","RL (1)"
85,79704,"TravelspanGT, Inc. S.A.","9T"
83,0,"Aerolineas Uruguayas S.A.","UYQ"
82,382981,"Jin Air Co Ltd.","LJ"
82,0,"Translux Intl Airlines","LXQ"
81,4004,"Central American Airlines","GW"
80,67156,"A/S Conair","CIQ"
80,12983,"Makani Kai Air Charters","1PQ"
79,4327,"Aeromaritime","OV"
79,50684,"Great Plains Airlines Inc.","TRI"
78,240834,"Israir Airlines","6H"
77,13027,"Rio Grande Air","EWA"
76,20495,"Helijet International Inc.","JB"
74,0,"Yangtze River Express Airlines Company","Y8"
74,3301,"Jamaica Air Freighters","JAQ"
73,90488,"Air Atlantic Dominicana","LU"
68,54462,"Euro Atlantic Airways","MM"
66,20308,"N. W. Territorial Airways","NWQ"
66,111302,"Arik Air International","W3"
66,61775,"Edelweiss Air Ag","8R"
65,48262,"Oasis International Airlines S.A.","OB"
65,0,"Exec Direct Aviation Services Limited","1JQ"
65,133262,"Corsair International","SS"
64,154955,"Grand Airways Inc.","QD"
62,0,"Alas De Transporte International","APQ"
62,0,"Sterling Cargo","NB"
62,17560,"Harlequin Air Corporation","HQQ"
61,11517,"Sun Air Express LLC dba Sun Air International","1RQ"
60,93109,"Meridiana S.p.A","IG"
59,270,"Amira Air GmbH","XPE"
58,89827,"Halisa Air","WD"
58,123718,"Jettrain Airlines","LF"
57,192,"Alsek Air","1FQ"
56,0,"Conner Air Lines Inc.","4S (1)"
56,25049,"Belair Airlines Ltd.","4T"
55,81210,"EOS Airlines, Inc.","E0"
54,80601,"Air Club International","HB (1)"
54,0,"Aeroejecutivos C.A.","EJQ"
52,3325,"Flair Airlines Ltd.","07Q"
52,0,"Belize Air International Ltd.","BM"
52,0,"Air Haiti S. A.","HJ"
52,7523,"Airmark Airlines Inc.","AKQ"
51,226,"Metropix UK, LLP.","0LQ"
50,34778,"Flying Colours Airlines Ltd.","MT (1)"
49,4466,"International Cargo Xpress","XPQ"
48,95377,"Legend Airlines","LC (2)"
47,6294,"Titan Airways","02Q"
47,20024,"TUI Airlines Belgium N.V. d/b/a Jetairfly","TB"
46,27943,"Blue Scandinavia Ab","TRQ"
