"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Puerto Penasco, Mexico: Puerto Penasco Airport",10,796,14220,"PPE","Puerto Penasco, Mexico","",148,"medium_airport",31.356202302,-113.525676727,"MX","Puerto Peñasco","MX-SON","MMPE","","NA",30
"Morristown, NJ: Morristown Municipal",182,778,13398,"MMU","Morristown, NJ","NJ",21,"medium_airport",40.7994003295898,-74.4149017333984,"US","Morristown","US-NJ","KMMU","MMU","NA",187
"Tofino, Canada: Long Beach",91,768,15999,"YAZ","Tofino, Canada","BC",906,"medium_airport",49.0798255464,-125.775604248,"CA","Tofino","CA-BC","CYAZ","","NA",80
"Okinawa, Japan: Kadena AB",58,733,11351,"DNA","Okinawa, Japan","",736,"large_airport",26.3556003570557,127.767997741699,"JP","","JP-47","RODN","","AS",143
"Midway Island, TT: Sand Island Field",18,717,13234,"MDY","Midway Island, TT","TT",5,"medium_airport",28.2017002105713,-177.380996704102,"UM","Sand Island","UM-71","PMDY","MDY","OC",13
"Bordeaux, France: Bordeaux Merignac",3,707,10710,"BOD","Bordeaux, France","",427,"large_airport",44.8283004760742,-0.715556025505066,"FR","Bordeaux/Mérignac","FR-B","LFBD","","EU",162
"Saint John, Canada: Saint John Airport",11,698,16191,"YSJ","Saint John, Canada","NB",946,"medium_airport",45.3161010742188,-65.8902969360352,"CA","Saint John","CA-NB","CYSJ","","NA",357
"Seal Bay, AK: Seal Bay Airport",369,694,15091,"SYB","Seal Bay, AK","AK",1,"small_airport",58.3733,-152.2018,"US","Seal Bay","US-AK","","","NA",0
"Cold Lake, Canada: Cold Lake Group/Captain R. W. McNair",19,685,16142,"YOD","Cold Lake, Canada","AB",916,"medium_airport",54.4049987792969,-110.278999328613,"CA","Cold Lake","CA-AB","CYOD","","NA",1775
"Muan, South Korea: Muan International",2,685,16462,"MWX","Muan, South Korea","",778,"large_airport",34.991406,126.382814,"KR","","KR-U-A","RKJB","","AS",""
"Fukushima, Japan: Fukushima Airport",3,669,11685,"FKS","Fukushima, Japan","",736,"medium_airport",37.2274017333984,140.430999755859,"JP","Sukagawa","JP-07","RJSF","","AS",1221
"Luzon Island, Philippines: Diosdado Macapagal International",5,664,11138,"CRK","Luzon Island, Philippines","",766,"large_airport",15.1859998703,120.559997559,"PH","Angeles City","PH-PAM","RPLC","","AS",484
"Farnborough, United Kingdom: Farnborough Airport",165,653,11628,"FAB","Farnborough, United Kingdom","",493,"medium_airport",51.2757987976,-0.776332974434,"GB","Farnborough","GB-ENG","EGLF","","EU",238
"Valdosta, GA: Moody AFB",12,651,15550,"VAD","Valdosta, GA","GA",34,"medium_airport",30.9678001404,-83.1930007935,"US","Valdosta","US-GA","KVAD","VAD","NA",233
"West Point, AK: West Point Village",382,650,12854,"KWP","West Point, AK","AK",1,"seaplane_base",57.7700996399,-153.548995972,"US","West Point","US-AK","KWP","KWP","NA",""
"Exeter, United Kingdom: Exeter Airport",5,649,11620,"EXT","Exeter, United Kingdom","",493,"large_airport",50.7344017028809,-3.41388988494873,"GB","Exeter","GB-ENG","EGTE","","EU",102
